Create new Breakfast entry,Tue Apr 27 19:12:01 EEST 2021
Create new Breakfast entry,Tue Apr 27 19:15:38 EEST 2021
Show Most Expensive Order entry,Tue Apr 27 20:00:27 EEST 2021
Show Order entries,Tue Apr 27 20:00:31 EEST 2021
Show Lunch entries,Tue Apr 27 20:15:19 EEST 2021
Show Breakfast entries,Tue Apr 27 20:15:27 EEST 2021
Show Order entries,Tue Apr 27 20:15:31 EEST 2021
Show User entries,Tue Apr 27 20:15:39 EEST 2021
Show Breakfast entries,Tue Apr 27 20:34:04 EEST 2021
Delete Breakfast entry,Tue Apr 27 20:34:12 EEST 2021
Show Breakfast entries,Tue Apr 27 20:34:18 EEST 2021
Update Breakfast entry,Tue Apr 27 21:06:26 EEST 2021
Show Breakfast entries,Tue Apr 27 21:06:42 EEST 2021
Update Breakfast entry,Tue Apr 27 21:07:13 EEST 2021
Show Breakfast entries,Tue Apr 27 21:07:25 EEST 2021
Show User entries,Tue Apr 27 21:15:04 EEST 2021
Create new User entry,Tue Apr 27 21:15:14 EEST 2021
Show User entries,Tue Apr 27 21:15:18 EEST 2021
Update User entry,Tue Apr 27 21:15:37 EEST 2021
Show User entries,Tue Apr 27 21:15:41 EEST 2021
Show Dinner entries,Tue Apr 27 21:20:52 EEST 2021
Show Most Expensive Order entry,Tue Apr 27 21:32:35 EEST 2021
Show Order entries,Tue Apr 27 21:33:03 EEST 2021
Show Breakfast entries,Tue Apr 27 21:34:04 EEST 2021
Show Breakfast entries,Tue Apr 27 21:38:09 EEST 2021
Show Most Expensive Order entry,Tue Apr 27 21:38:36 EEST 2021
Show Order entries,Tue Apr 27 21:38:41 EEST 2021
